# All selected users with their review requirements (ADJUSTED TO 30K)
# Format: USER_ID\tCATEGORIES (category:reviews, ...)
======================================================================
AE22CFXT3QZKUQJORVTGL3VQXAAA	Clothing_Shoes_and_Jewelry:1, Video_Games:2
AE2GTDKIUZZQNMHBXOQHNWZBXTTA	Clothing_Shoes_and_Jewelry:4, Software:3
AE2GYIOEW7WONM6D7PL5ERSXPNAA	Clothing_Shoes_and_Jewelry:3, Software:4
AE2HHCZARXNN3PDMFANR7XK23LIA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2I4YDMGK5SSHQNQ3T5ETVD2XKA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2IGWDKOWONDB3FQFX3STYGWCNQ	All_Beauty:12, Clothing_Shoes_and_Jewelry:1
AE2IQU5BU2S4T6XWD5TB7I36V3MA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2IZW6YJA6EFBFVAJRCG5IENKYA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2J2SMPZF66AS6UN6RIKKR42Z4Q	Appliances:12
AE2JF5MD4CXY7LCCDF2BF5Z6F5PA	Clothing_Shoes_and_Jewelry:2, Video_Games:1
AE2JTEGQQ3GF2L5GT42ZYNISQXRA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2JU2G4GGXFUGYNFSMWYD7QONNA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2K4B7SE3UVJKEJSRLKZUHLPMNA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2KO6IQPO2KLV6W7MCMORPXLF4A	Clothing_Shoes_and_Jewelry:1, Software:1
AE2LAVM7MAFMEVPZ4SA5JTEJEIMQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2MZXV6MN7FGQAWXW3QRCVLTOEQ	Clothing_Shoes_and_Jewelry:2, Video_Games:4, Software:2
AE2NR33BL3KNMOZJ5IDGLNXRXEIA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2NUFEWGEU2RN7TC43DDAZTFPAA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2O2C43KTYO4LXXGZWJZLE67GBQ	All_Beauty:12, Health_and_Personal_Care:5
AE2O4Q2WMAXK6CA2CEBRKJF3RL2A	Clothing_Shoes_and_Jewelry:1, Software:1
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2Q3XJLAOXWTQBOBE6XMGUM3IZQ	Clothing_Shoes_and_Jewelry:2, Software:4
AE2QE6PBYLQSE2MSA3ASAREJT3SQ	Clothing_Shoes_and_Jewelry:2, Software:3
AE2QIXAAA7BP3ZNXM5ZQQBZJAIYA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2QLZVEULWE5XDJGM4LEQTHS6KQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2QPSGUVKK3YITW2D5MQDWOILCA	Clothing_Shoes_and_Jewelry:1, Software:1
AE2QZOF34HF2A737SBE4JANNAKJQ	Video_Games:1, Software:1
AE2RTM33U2P6G7I7WL7O6SJGGUCQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2SSHAHSUP77HZV2H7YNJO3ZISA	Clothing_Shoes_and_Jewelry:2, Software:1
AE2TGGCZIN55B3MJ45A2TKIW7E3A	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2TMA6KFITAKK6GLXEWK5P3T5VQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2UBE6I5KYHH5R7KAS53RJ4HV5Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE2UETTQKTTBMRBUZ6IZCMFDENCA	Clothing_Shoes_and_Jewelry:1, Software:4
AE2UTPKLEGE4GQQWU6CWX5QWW3IQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2V62JICTK6N5HBM77LKH4NQZFA	Digital_Music:4
AE2WYNQPBMS67OHFWV63NI4MSJEA	All_Beauty:16
AE2XI5N5UF56PVJGA4O5LFVN3A4Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2XLYZI67AVYTP4XU74FGPXWTYQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2XZXUGXQDGTZVTUPX2LORMCJIQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2YTFYIJTQ4BQKEIXEPCN4ZRBVQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE2YWWBPCVFG6BJY54SABLSRIL7A	Video_Games:3
AE2ZIVHHIEHGNM3PK6CN42W6RIVQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE2ZY3S3AUZUJG7GSSS564KE3E4A	Video_Games:1, Software:1
AE32INSVRFOUVTTXAAY3E6VXFUQA	Digital_Music:4
AE32YGJR2HQ5XHGLQ42OV2YMX46Q	Clothing_Shoes_and_Jewelry:3, Software:2
AE3362H4ZCGKW3OOGN7T43JUXWAQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE33BZBDHRYYNACB4BTXRPWQCHNA	Digital_Music:4
AE33EY3V3KY6COWPUPK4HNHEOQJQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE33GCJ5VSCOLV2ZYXQTO3CYXWDA	Clothing_Shoes_and_Jewelry:3, Software:3
AE33JIQEEMCMIN4WVFSV53V74MYQ	Appliances:15
AE34NBKIYPJNV5DNVLOFNDUGLA4Q	Clothing_Shoes_and_Jewelry:3, Software:2
AE34NY2K5SGME6SCNNQMOZFIJZZQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE34TGO6OTNVMGNH5DT2FMBZYFJA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE34XE3DSXHTUHC5KOQSIJM4TZZA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3566W7LOM33DMSV4XEMYYLIMHQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE357IZWLZAFW6LLF34ZCRTUZ5BA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE35ABQP6EKEHQKXSJXJQVHNFNSA	Clothing_Shoes_and_Jewelry:1, Digital_Music:4
AE35AN7GHW47CINGIWEMWM4T7YCQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE36LB55BR5UDATOUTI5AZAIVL4A	Clothing_Shoes_and_Jewelry:4, Software:1
AE37L5WDWVIGH7OKBRZJURJ2DKVA	Clothing_Shoes_and_Jewelry:1, Software:1
AE37Q6TCPNWG4RUJMJIKRYFBI4CQ	Video_Games:1, Software:1
AE3A2KNE4VRLQ2RIENXU4E6I2MLQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1, Software:1
AE3BC5ZUTE2S72X6QWX3PRC2PYTQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1, Software:1
AE3BN5GICAH4GS6GKO6FDGZQ66PQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3BVZXI26WB3MUV3DWDR4MFPXCA	Clothing_Shoes_and_Jewelry:1, Video_Games:1, Software:1
AE3C7LNM3WX32KLF3I6TJHOWVGUQ	Digital_Music:4
AE3DFVMFTPEZHK3Y27HXH44ZWNGA	Clothing_Shoes_and_Jewelry:2, Software:3
AE3EXVLONL362BYJ2NSOTPSCLKMA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3FEAG2IIAQGK5T536M5EUKYVDQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3FFMNZTP4QY2OEVS7Y3VGKO3UA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3FIMIYEL2O44ZKCPQ4RVQ7ISXA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3GSZMLNVP3Q6PP4KTAPAOE276Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3I4QN3AL2NG2FWZ2OZ7UNFDFNQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3IB265BPSX2YKYDP6QMLOWPS2Q	Clothing_Shoes_and_Jewelry:2, Software:1
AE3IBZSN3T3IDRVUS55SNMU5X2DA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3IDC2OLIYZ2T7EF4TKIXDSYXOA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3IGJOPJP6LFXEJTIXFJVSJLILA	Clothing_Shoes_and_Jewelry:1, Health_and_Personal_Care:10
AE3IJTN4VH4I44ID2K5IPNK36XDA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3ISLKYUGBZEDULWUNVM4ILOQ6Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE3JGBZOYHAXMKWIOJHYWJWPWFSA	Clothing_Shoes_and_Jewelry:4, Software:4
AE3JSKAMDQJYIIP5DTHH56T6ZEUA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3JXXPVREGMCSBD4XKXYRCVNNPQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3JZBAMN7X4M2Y2K4TRH5NP24WQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3KIV6ZP3UAXGPZYHBV5VACK6LQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3KLVXGZPANXE5XLXYKHTVAZ3FQ	All_Beauty:11, Clothing_Shoes_and_Jewelry:2, Health_and_Personal_Care:11, Software:2
AE3KN6QTQIMQBUUQYX25XLS2Z3SA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3L4G63DLD4T2PFKV5DCEAVFMWQ	Video_Games:1, Software:1
AE3LUVAAITFJIUTWBMRPHDQOCOFQ	All_Beauty:12, Clothing_Shoes_and_Jewelry:1
AE3LZ5EMSN5BJ5USW4SJRDHI5M4A	Clothing_Shoes_and_Jewelry:1, Software:1
AE3MFGHNZBAKX7KMEKLVSI3JCMTA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3MJGSAQJ534W2JYGVG42VCQZZA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3MOIFFJKPNKSFWA6COA7UKY2OA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3MR2EVAQWHB7PZCHM2NMMVQBAQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3NMIDEI3IWPOEOOMPRD4EFF4SQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3ONNFRKPGCVM4WDNHWSTVJYX5Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE3OU633UJSSZVBFHBJCA4Q6KSFQ	Video_Games:1
AE3P75XGBCYVOCCB42I72LCTRQTA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3PGFTOWEILYBVB3VR3LSAABOZA	Clothing_Shoes_and_Jewelry:3, Software:4
AE3PLZHW6NXWBMZ76TDVFQG2MJFA	All_Beauty:11, Clothing_Shoes_and_Jewelry:2, Health_and_Personal_Care:13, Video_Games:3
AE3PSQTWSGRB3WSGNB6BRU44WJ6Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE3PZCF76XDJKGWTAKES5AXF3ZDQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE3PZK75LBPKYD3232H6VBY5GGNA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3QBGRRHKT3GFDPRXFEN7JICEZQ	All_Beauty:15
AE3QYO2OEYYVECH7XZ7JLPOXNYGA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3RDRM7ATMD6LUDJ5G6J5NJHOJA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3RKABCTL3NBNBN4LJF3DBRBQDA	Video_Games:1, Software:1
AE3RZXZ2AQGC7XEPMYVCRG44N27A	Clothing_Shoes_and_Jewelry:2, Software:2
AE3SNE67VFJY25IUNKG5EKCSPR7Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE3STITLXZBMR5ZG324ZLGV5CALA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3SV37D7G3IIAWGI5N5B6O4B2IQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3TEYWZI6Q5C527G4Z3WKF43ITA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3UCFCUM2VUMPUGBJXRN5LHHJQQ	Clothing_Shoes_and_Jewelry:4, Video_Games:1
AE3UKETTR77J4LM2ZE4AEUC4L6KA	All_Beauty:12, Clothing_Shoes_and_Jewelry:1
AE3X4272FVNKCUNOTEYIJI7JSYWQ	Clothing_Shoes_and_Jewelry:3, Software:1
AE3XF2KLJZ5HISSO2I2FSCFKX6WA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3XGUZDWLRHJXT3G35WFBX3LT3A	Clothing_Shoes_and_Jewelry:1, Software:1
AE3XWG7KN2XQ7DXBSUVF5HC3JLGA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE3YAFD3TDLTXUTOPRUDL5PBDDQA	Clothing_Shoes_and_Jewelry:1, Software:1
AE3YEDD3BHZBXKQUDVBWTPSVFVRA	Clothing_Shoes_and_Jewelry:1, Software:1
AE427K2UBLFAGMFKETNR5NKA2Q2A	Clothing_Shoes_and_Jewelry:1, Software:1
AE43AQKXLSB2EEB5RZYFHX7KTRQA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE43JDTOAHNTZIMRP5ROITQP2RVQ	Digital_Music:4
AE44BINXIL2JKWQXUMI4IAUMAGAQ	Clothing_Shoes_and_Jewelry:4, Video_Games:3
AE44IJEA6HILFUXJZRCAOGHWSDEQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE45JRL7T3GAT7WAUTHZXHTLMVPA	Clothing_Shoes_and_Jewelry:4, Software:1
AE45YMBT22253F3XWEESXGHVS42A	Clothing_Shoes_and_Jewelry:3, Video_Games:3
AE45ZGMA3H5BVWXV5ZOUTXMWDKXQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE46DTBDNTHLKBG2DI5MOBO3WQPQ	Digital_Music:4
AE47LL26G3JFEMIS5JI5VR2HR7QQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE47RP7BV4E4YMKV6UKGYM2ZPCUQ	Clothing_Shoes_and_Jewelry:3, Software:4
AE47W7WAU22JYCPUGBQPRAX2G5WQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4ACSEKJYS64UVRAPXPIOMTXE6Q	Clothing_Shoes_and_Jewelry:3, Video_Games:3, Software:1
AE4AF7UJIO7RJ4H6XIWI4R27IDJQ	Clothing_Shoes_and_Jewelry:3, Software:2
AE4AIRZ6WYF3GMDPYTCWI4MID4AQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4AN6XNILTTAC3YRFP2JSIXR5TQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4APTSIVRXCYIHQTXIWDBWRPI6Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE4BQMXPA6PCDKAOWEJHJ3N5KFLA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4CGVZRXIAQDALP6UN3FMJF6NSA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4CN3NI76JUI2RJJ72VYGYJ4DUA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4COYV4ZPNQ7MRC5PSPWLHHRMBQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4CZC4AHU7G2U32ALBFOARYWEKQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4D26OJFK6QOQ6CYGTSNMIL3GOA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4D4O4LA7S4LO32LO6RBP33PQCQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4DUTQH6RPLJ3HHATBZBQS4LXMA	Software:1
AE4FAMDNH6RVAJ27DI5M5I4YEUHQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4FFPAQZRIWZ5DTZQ5PHIYQK5GA	Video_Games:1
AE4FQNMGVO54OU76TJBPXCUPG76Q	Clothing_Shoes_and_Jewelry:1, Software:1
AE4FQVS6CJVC3QDQ7C2CPAJAZM4A	Clothing_Shoes_and_Jewelry:4, Health_and_Personal_Care:11
AE4G6KT5UJLGCTUVUYA47KVVAX6A	Clothing_Shoes_and_Jewelry:3, Software:2
AE4GGJE5KATYIKGUMX5XUQXZSHBA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4H5CYOSGPLUDPCEHXA2HJL574Q	Clothing_Shoes_and_Jewelry:3, Software:3
AE4I4VOM7CNFD6O53XBLHSMOWEDA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4IYZZ6FELBMAQ72ZPSN4JBL24A	Clothing_Shoes_and_Jewelry:1, Software:1
AE4J52SBFRBUO3SUOPNM7Y6RRZOQ	Video_Games:1, Software:1
AE4JPPM4YPZ4EONHBXME6VWPVS2Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4KD6JF7FIZNUAELRR6OV2NLVPQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4KYDQ226J3HKKVUDGHUYEPDFGA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4LHE332IUE2W65TYKMVA74MP4Q	Clothing_Shoes_and_Jewelry:1, Video_Games:3
AE4LSJPUHLQX634M5USDSLJW2YGQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4MQM5FV2R77VEALQCODN5YZIZA	Clothing_Shoes_and_Jewelry:4, Video_Games:4
AE4N7Q2VHBWKDY272MVW3TGPE5YQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4NJ32BCSI3T3W7YQHLKLIPOZCA	Clothing_Shoes_and_Jewelry:2, Video_Games:2
AE4NVJNH62NQCSRJAMWGXDNEQIUQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4OBRQV2MF6TKPY7YE5Q25RKIWA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4OOHIEQKCR5QVMIGVZLM7YDHNA	Clothing_Shoes_and_Jewelry:1, Software:3
AE4OZU3WZWNEA5DMCMPURBIGZCIA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4P2JU3TZNH5PZZUHKF6J6CIM4A	Clothing_Shoes_and_Jewelry:4, Video_Games:4
AE4PHE2UJD3OOEID2KC67PGVZDIQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4PN5WKTD44NQYMOIHD7Y22SIQQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4QO4BZ4S4DD3A2EXHUCIECTYWA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4QTDHUXQO2NOTJHNQ4FXYQNR2A	Clothing_Shoes_and_Jewelry:1, Software:1
AE4RGPO3FOZ4ROO4QKWSLMHA3ODQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4RIDQQCOZGQJKD6E7S7F3IRMJQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4RKZIQ22KRAZJHTLCVJTDZTOQQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4RLRDON3J2DOZO5CIOYIHHFGMA	Clothing_Shoes_and_Jewelry:1, Video_Games:1, Software:1
AE4ROD6KAEXM6X3GZQDAXAYPU5IA	Appliances:15
AE4RYFZ65QIFR4QWMFD7CAN3S4WQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4S6GGTPJ7DQPGMY4QJSKELW3ZA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4SKIDVC7WY3HT6LLXDASBVPL4Q	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4SRJ4IVDWUWGZF7BZ4MXH7WKUA	Clothing_Shoes_and_Jewelry:4, Software:3
AE4SX2IMZGVQSS5SFWP6NEE2HQ4Q	Clothing_Shoes_and_Jewelry:3, Video_Games:2, Software:1
AE4SYLXUCYQA4L4F34BKFNWKM6BA	Digital_Music:4
AE4TBPSA7MG42EICQOCF54VMRTQA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4TGTUC2LBJCH66Q5DGKW3YKTHA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4TTKYCRNOJTINIRCPWAKQISKZQ	Video_Games:1, Software:1
AE4UPEHPINE6B4LCZXNUL6FK7TMQ	Video_Games:1, Software:3
AE4USCVXIZHTWD5QMLJE36VJUZ3A	Appliances:11
AE4UWH6YHBDKYSY3AUKUZ46V65KQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4VG3KIVGRAEPUBJMN3TGTDIC7Q	Appliances:11
AE4VNCNZ5XJON3GQWHFJPZ626HVQ	Clothing_Shoes_and_Jewelry:4, Video_Games:1
AE4WVBOMTPQ3UNQOQJYV3JP5IAUQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4X7GWLS2NX3EMD52DIBTXPLALA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4XAONOTHWDUYQGLCZSHVJ4TP3A	Clothing_Shoes_and_Jewelry:2, Video_Games:4
AE4XF7VPJSXIQA64623LFRPJZY5A	Clothing_Shoes_and_Jewelry:3, Video_Games:4
AE4XJBJIEAUJX7LBDY4MTGZFLFEQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4XVKKIXLHIS7SXHUT5V76QFTTA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE4YB4AE5WZMIZHVUVRP3TXCK5QA	Clothing_Shoes_and_Jewelry:4, Health_and_Personal_Care:12
AE4YHBRSUPTLYJ3SDDH75EZSOJHA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4YQOTLM2M6PLM4WZ2A75KNPLMQ	Clothing_Shoes_and_Jewelry:3, Software:2
AE4YWKOC2P4NUXQ3JHWAGGIDGYFA	Clothing_Shoes_and_Jewelry:3, Software:4
AE4YX75I3J7ODKYTBSBZGIBBSFFA	Clothing_Shoes_and_Jewelry:1, Software:1
AE4YY5YLTJ4HJIPCCH2PBBAHHEAQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE4Z5GQ7TDQAA2MLP5B3FS3YMYYQ	Clothing_Shoes_and_Jewelry:2, Video_Games:3
AE52FFLYVXIS5YNEEUWE6GQYPZAQ	Video_Games:1
AE52GPMH6YF7HQMRWALACH3BBNBQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE52IBHR6PNU5TIQ22NRXGVX3UAA	Video_Games:1, Appliances:6
AE52MJ7PMV2JMGCPVYRPADKKR7SA	Clothing_Shoes_and_Jewelry:1, Software:1
AE52WKSRT663YE5RQVY6F5SPRDZQ	Clothing_Shoes_and_Jewelry:1, Software:3
AE53BKZRXVY44ALKT5T7J433D4MA	Clothing_Shoes_and_Jewelry:1, Software:1
AE53GANKLGGE36YZ5TY5MHFKACSA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE54B3IV6WFUSAHPMORKIRAN6IGQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE54JPMTNQWTU4U4CTVRJ5F6PDEQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE56K365H7U5YJVA3CCXZ6VMAYRA	Clothing_Shoes_and_Jewelry:1, Software:1
AE56VZGOIZPMVHJJ7FHKKIJTPJXQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE57BSN5WKONVJDF7TIQZ353YONA	Clothing_Shoes_and_Jewelry:4, Software:4
AE57LNFBGUU54D7ZEOKRKPTA3TGQ	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE57W4X5LSWVOXDAXIM6TTG4BPOA	Appliances:15
AE57WNI3EHHNDIMY2HS4B5FSMQNQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE5AEGZ65HKETNVQSYICPXOIFV2Q	Video_Games:1
AE5ALXARFAC6BVZIISDQ5PSJCQJA	Clothing_Shoes_and_Jewelry:1, Software:1
AE5BEMZXRUKWSURU73YN2YGUE3XA	Clothing_Shoes_and_Jewelry:1, Software:1
AE5BOUB3JEW4YH5WH6D7XKK6CTEA	Clothing_Shoes_and_Jewelry:1, Software:1
AE5BQM7ZUBQQNBOPF3XUC32RTJNA	Clothing_Shoes_and_Jewelry:1, Software:1
AE5CCCHR534TCVU72NNPU6EQMOZQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE5DCM6NS6QAY7CKRBRNDUK65KTA	Video_Games:1, Software:1
AE5DMHX5BW2DZGY36RE5R5KUJJUA	Digital_Music:4
AE5DXOKOQKQ6N5GVF572QZRRRGLA	Digital_Music:4
AE5EH3JILF6CUJSJWHYEBEHLXU5A	Clothing_Shoes_and_Jewelry:1, Software:1
AE5ESL52LWWBJTSFOAXSFZA3XCGQ	All_Beauty:12, Health_and_Personal_Care:22
AE5EXQ6AZA2NTO6SQEIW34VQQBZQ	Clothing_Shoes_and_Jewelry:1, Software:1
AE5FLM2BF5NNN3U2AB2HNMRKP5EA	Clothing_Shoes_and_Jewelry:1, Software:1
AE5FU4IX6TVAPNSYVYCZJLPD5XSA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
AE5GFCRITBSB6IWXMPECL5QA2GRA	Clothing_Shoes_and_Jewelry:3, Video_Games:1
AE5GH4VM5Q5HNUL4EOAYRLNB7RVA	All_Beauty:16
AE5H65NAZCT5LBRKFZUAGRF2TMEA	Clothing_Shoes_and_Jewelry:1, Appliances:6
AE5HFGDL35DW4GK5GILL2ICEO3EA	Clothing_Shoes_and_Jewelry:1, Video_Games:1
